n,k,x,y
36,11,-16.914467174146353,-6.156362579862028
36,12,-15.5884572681199,-8.999999999999995
36,13,-13.788799976141604,-11.570176974357707
36,14,-11.570176974357711,-13.788799976141602
36,15,-9.000000000000007,-15.58845726811989
36,16,-6.156362579862034,-16.914467174146353
36,17,-3.125667198004746,-17.726539554219745
36,18,-3.3065463576978533e-15,-18.0
36,19,3.1256671980047397,-17.726539554219748
36,20,6.1563625798620265,-16.914467174146353
36,21,9.000000000000002,-15.588457268119894
36,22,11.570176974357695,-13.788799976141616
36,23,13.7887999761416,-11.570176974357713
36,24,15.58845726811989,-9.000000000000007
