n,k,x,y
20,11,3.0901699437494723,-9.510565162951536
20,12,5.877852522924729,-8.090169943749476
20,13,8.090169943749473,-5.877852522924734
20,14,9.510565162951535,-3.0901699437494763
20,15,10.0,-2.4492935982947065e-15
20,16,9.510565162951536,3.090169943749472
20,17,8.090169943749476,5.877852522924729
20,18,5.877852522924734,8.090169943749473
20,19,3.090169943749477,9.510565162951535
21,0,6.429395695523604e-16,10.5
21,1,-3.094929331314494,10.033514460754477
21,2,-5.914860609668032,8.675507130317945
21,3,-8.209230565914313,6.546642919516703
21,4,-9.774174360764146,3.8360807558471457
21,5,-10.470639870402392,0.784665982657459
21,6,-10.236743077909148,-2.3364698065413
21,7,-9.093266739736608,-5.249999999999997
21,8,-7.141813746594654,-7.697044654213177
21,9,-4.555779260734362,-9.4601731129754
21,10,-1.5649437948498397,-10.382723675363849
21,11,1.5649437948498266,-10.38272367536385
21,12,4.555779260734359,-9.460173112975403
21,13,7.1418137465946545,-7.697044654213175
21,14,9.093266739736602,-5.250000000000004
21,15,10.236743077909146,-2.3364698065413037
21,16,10.470639870402392,0.7846659826574551
21,17,9.774174360764144,3.836080755847151
21,18,8.209230565914316,6.5466429195167
21,19,5.914860609668039,8.675507130317941
21,20,3.0949293313145,10.033514460754477
22,0,6.735557395310443e-16,11.0
22,1,-3.0990581252557265,10.554422709759471
22,2,-5.947048992011574,9.253788861142992
22,3,-8.31324531789684,7.203468073398137
22,4,-10.005951948899703,4.56956514302075
22,5,-10.888035860690259,1.5654632210061368
22,6,-10.88803586069026,-1.565463221006134
22,7,-10.005951948899703,-4.569565143020747
22,8,-8.313245317896842,-7.203468073398135
22,9,-5.947048992011572,-9.253788861142993
22,10,-3.099058125255727,-10.554422709759471
22,11,-2.0206672185931327e-15,-11.0
22,12,3.0990581252557226,-10.554422709759471
22,13,5.947048992011569,-9.253788861142995
22,14,8.313245317896836,-7.203468073398141
22,15,10.005951948899698,-4.56956514302076
22,16,10.888035860690259,-1.5654632210061383
22,17,10.88803586069026,1.565463221006133
22,18,10.005951948899703,4.569565143020746
22,19,8.313245317896845,7.20346807339813
22,20,5.947048992011573,9.253788861142993
22,21,3.0990581252557283,10.554422709759471
23,0,7.041719095097281e-16,11.5
23,1,-3.102662868305777,11.073548804499692
23,2,-5.975215425407484,9.82582315228462
23,3,-8.404613589198428,7.849361147014522
23,4,-10.210680011627314,5.290747933908251
23,5,-11.259467008346714,2.3397441501052865
23,6,-11.4731908456912,-0.784787753693717
23,7,-10.836000604366436,-3.85111553996634
23,8,-9.395153769620084,-6.63182370432097
23,9,-7.257511359749611,-8.920679843100825
23,10,-4.581612533231772,-10.547929967312712
23,11,-1.5659164646068422,-11.392888379417803
23,12,1.565916464606838,-11.392888379417803
23,13,4.581612533231778,-10.547929967312708
23,14,7.257511359749607,-8.920679843100828
23,15,9.395153769620082,-6.631823704320974
23,16,10.836000604366435,-3.851115539966344
23,17,11.473190845691201,-0.7847877536937109
23,18,11.259467008346714,2.3397441501052825
23,19,10.21068001162732,5.290747933908243
23,20,8.404613589198426,7.849361147014522
23,21,5.975215425407487,9.825823152284618
23,22,3.1026628683057904,11.073548804499689
24,0,7.347880794884119e-16,12.0
24,1,-3.1058285412302475,11.59110991546882
24,2,-5.999999999999997,10.392304845413264
24,3,-8.48528137423857,8.485281374238571
24,4,-10.392304845413262,6.0000000000000036
24,5,-11.59110991546882,3.105828541230247
24,6,-12.0,1.4695761589768238e-15
24,7,-11.59110991546882,-3.1058285412302444
24,8,-10.392304845413266,-5.9999999999999964
24,9,-8.485281374238571,-8.48528137423857
24,10,-5.999999999999996,-10.392304845413266
24,11,-3.1058285412302475,-11.59110991546882
24,12,-2.204364238465236e-15,-12.0
24,13,3.1058285412302435,-11.59110991546882
24,14,5.999999999999992,-10.392304845413268
24,15,8.48528137423856,-8.48528137423858
24,16,10.39230484541326,-6.000000000000005
24,17,11.59110991546882,-3.105828541230248
24,18,12.0,-2.9391523179536475e-15
24,19,11.59110991546882,3.1058285412302427
24,20,10.392304845413264,6.0
24,21,8.485281374238571,8.485281374238568
24,22,6.000000000000007,10.39230484541326
24,23,3.1058285412302595,11.591109915468817
25,0,7.654042494670958e-16,12.5
25,1,-3.1086235895606826,12.10728951410789
25,2,-6.021920926271438,10.953833500548296
25,3,-8.55683882410861,9.112107842767642
25,4,-10.554099068775189,6.697834937237459
25,5,-11.888206453689419,3.862712429686844
25,6,-12.475334105353394,0.7848814941164197
25,7,-12.278590634108609,-2.342266432321554
25,8,-11.310338155825244,-5.322241144563408
25,9,-9.631415534697366,-7.96779987185862
25,10,-7.347315653655915,-10.112712429686841
25,11,-4.601556908558472,-11.622206073603143
25,12,-1.5666654195538074,-12.401433766430973
25,13,1.5666654195538028,-12.401433766430973
25,14,4.601556908558468,-11.622206073603145
