n,radius,central_angle_rad,central_angle_deg,side_chord,circumscribed_side,apothem,spoke_base_angle_deg,diag2,diag2_over_side,apothem_over_radius,vertices_shared_with_smaller_dgon,smallest_proper_divisor_gon,n_is_prime_like,euler_totient,predicted_shared_from_totient
94,47.0,0.06684239688488922,3.8297872340425534,3.1410078387214093,3.1427628714960623,46.973753495321965,88.08510638297872,6.278507572041426,1.9988831274605094,0.9994415637302546,47,2,0,46,47
95,47.5,0.06613879270715355,3.7894736842105265,3.1410200851442807,3.142738354268867,47.47402972369399,88.10526315789473,6.278605510941447,1.9989065146818517,0.999453257340926,22,5,0,72,22
96,48.0,0.06544984694978735,3.7499999999999996,3.1410319508905093,3.1427145996453683,47.97430019886555,88.125,6.2787004060937335,1.9989291749527311,0.9994645874763656,63,2,0,32,63
97,48.5,0.06477510625958337,3.711340206185567,3.1410434515755226,3.1426915763185437,48.47456509870747,88.14432989690721,6.278792382320267,1.9989511380910299,0.9994755690455149,0,97,1,96,0
98,49.0,0.0641141357875468,3.6734693877551017,3.1410546020222068,3.142669254571802,48.97482459383371,88.16326530612244,6.278881558109865,1.9989724324013756,0.9994862162006879,55,2,0,42,55
99,49.5,0.06346651825433926,3.6363636363636367,3.1410654163086975,3.1426476061829955,49.47507884796766,88.18181818181817,6.2789680459998864,1.9989930847663704,0.999496542383185,38,3,0,60,38
100,50.0,0.06283185307179587,3.6,3.141075907812829,3.142626604335115,49.97532801828658,88.2,6.279051952931337,1.9990131207314632,0.9995065603657316,59,2,0,40,59
101,50.5,0.062209755516629564,3.5643564356435644,3.1410860892535286,3.1426062235331598,50.4755722557454,88.21782178217822,6.279133380579533,1.999032564583976,0.9995162822919881,0,101,1,100,0
102,51.0,0.06159985595274104,3.5294117647058822,3.141095972729376,3.142586439526687,50.97581170538166,88.23529411764706,6.279212425662169,1.9990514394267316,0.9995257197133659,69,2,0,32,69
103,51.5,0.06100179909883093,3.495145631067961,3.141105569754563,3.1425672292376,51.4760465066026,88.25242718446603,6.279289180226577,1.999069767246703,0.9995348836233514,0,103,1,102,0
104,52.0,0.06041524333826525,3.4615384615384612,3.14111489129244,3.1425485706927847,51.97627679345574,88.26923076923076,6.2793637319177495,1.9990875689790668,0.9995437844895334,55,2,0,48,55
105,52.5,0.059839860068377014,3.428571428571429,3.141123947786838,3.142530442961215,52.476502694883926,88.28571428571428,6.279436164228588,1.9991048645670066,0.9995524322835033,56,3,0,48,56
106,53.0,0.05927533308659987,3.3962264150943398,3.1411327491913323,3.142512826095199,52.9767243349661,88.30188679245282,6.279506556733715,1.999121673017589,0.9995608365087943,53,2,0,52,53
