m,j,gap,side,k_snap,r_out,r_in,gm,am,tension,hx,hy,atan2,Px,Py,leg_chord,leg_path,leg_chord_over_path,k_frozen
95,149226,1570,down,95.0,47.5,0.021052631578947368,1.0,23.760526315789473,22.760526315789473,-0.9999999550078226,-0.00029997392019325534,-3.141292679665101,-47.499997862871574,-0.014248761209179629,94.49996988016557,148.3643424132843,0.6369452952308855,94.98790579248886
96,150797,1571,up,96.0,48.0,0.020833333333333332,1.0,24.010416666666668,23.010416666666668,0.9999997528034005,0.0007031309536823885,0.0007031310116195878,47.999988134563225,0.03375028577675465,95.49999805978403,150.03083519587832,0.6365358023575651,95.98790579248886
97,152368,1571,down,97.0,48.5,0.020618556701030927,1.0,24.260309278350515,23.260309278350515,-0.999999388063384,-0.0011062878728872142,-3.1404863654912467,-48.49997032107412,-0.053654961835029887,96.49999803946652,151.60132433136613,0.6365379620862638,96.98790579248886
98,153939,1571,up,98.0,49.0,0.02040816326530612,0.9999999999999999,24.510204081632654,23.510204081632654,0.9999988607878323,0.0015094446122812498,0.0015094451854740672,48.99994417860378,0.07396278600178124,97.49999801914903,153.17231608368928,0.63653798879608,97.98790579248886
99,155510,1571,down,99.0,49.5,0.020202020202020204,1.0,24.76010101010101,23.76010101010101,-0.9999981709768314,-0.001912601106338768,-3.1396800513173897,-49.499909463353156,-0.09467375476376902,98.49999799883156,154.74330779842205,0.6365380151181955,98.98790579248886
100,157080,1570,up,100.0,50.0,0.02,1.0,25.01,24.01,0.9999999501471719,0.0003157620207442469,0.0003157620259914569,49.99999750735859,0.015788101037212347,99.49996828643656,156.21430012802531,0.6369453257793393,99.98726925525143
101,158651,1571,down,101.0,50.5,0.019801980198019802,1.0,25.25990099009901,24.25990099009901,-0.9999997415776657,-0.0007189190509908268,-3.140873734476874,-50.49998694967212,-0.03630541207503676,100.4999979581966,157.88579361115853,0.6365360407644288,100.98726925525143
102,160222,1571,up,102.0,51.0,0.0196078431372549,1.0,25.50980392156863,24.50980392156863,0.999999370472567,0.0011220759643870762,0.001122076199846336,50.99996789410092,0.05722587418374089,101.49999793787917,159.45628373899265,0.636538087793519,101.98726925525143
103,161793,1571,down,103.0,51.5,0.019417475728155338,0.9999999999999999,25.759708737864077,24.759708737864077,-0.9999988368319359,-0.0015252326954077109,-3.140067420303018,-51.499940096844696,-0.0785494838134971,102.49999791756171,161.02727627403053,0.6365381088799568,102.98726925525143
104,163364,1571,up,104.0,52.0,0.019230769230769232,1.0,26.009615384615383,25.009615384615383,0.9999981406558595,0.0019283891785231788,0.0019283903737037744,51.99990331410469,0.1002762372832053,103.49999789724427,162.59826877367095,0.6365381296975021,103.98726925525143
105,164934,1570,down,105.0,52.5,0.01904761904761905,1.0,26.25952380952381,25.25952380952381,-0.999999945037257,-0.00033155012121760985,-3.1412611034625013,-52.499997114455994,-0.017406381363924518,104.49996669271158,164.06426188930726,0.63694533769467,104.98663271801401
106,166505,1571,up,106.0,53.0,0.018867924528301886,1.0,26.50943396226415,25.50943396226415,0.9999997301026669,0.0007347071481196321,0.0007347072142181392,52.999985695441346,0.038939478850340506,105.49999785660945,165.74075596823087,0.6365362414349772,105.98663271801401
107,168076,1571,down,107.0,53.5,0.018691588785046728,0.9999999999999999,26.759345794392523,25.759345794392523,-0.999999352632486,-0.0011378640556068231,-3.1404547892886474,-53.499965365838,-0.06087572697496504,106.49999783629204,167.31124695818215,0.6365381871961704,106.98663271801401
